datetime,open,high,low,close,volume
2011-02-21,1.01431,1.015,1.00715,1.008,0
2011-02-22,1.00803,1.00861,0.9965800000000000,0.9989300000000000,0
2011-02-23,0.9989300000000000,1.00583,0.9981700000000000,1.00332,0
2011-02-24,1.0033100000000000,1.01225,1.00014,1.00985,0
2011-02-25,1.00983,1.01768,1.00914,1.01747,0
2011-02-28,1.0153300000000000,1.0191700000000000,1.0119,1.018,0
2011-03-01,1.01805,1.02005,1.01216,1.01271,0
2011-03-02,1.01275,1.01813,1.0084900000000000,1.01597,0
2011-03-03,1.01603,1.01867,1.0112700000000000,1.01241,0
2011-03-04,1.0124,1.01486,1.0075100000000000,1.01363,0
2011-03-07,1.0149300000000000,1.0183800000000000,1.00908,1.0117400000000000,0
2011-03-08,1.0117400000000000,1.01332,1.00532,1.00959,0
2011-03-09,1.0096100000000000,1.01309,1.0059200000000000,1.0103600000000000,0
2011-03-10,1.0103600000000000,1.0116100000000000,0.99895,1.00149,0
2011-03-11,1.00145,1.0157200000000000,0.9968100000000000,1.0136400000000000,0
2011-03-14,1.00977,1.01155,1.00466,1.0101,0
2011-03-15,1.01015,1.01029,0.9815300000000000,0.98913,0
2011-03-16,0.9891400000000000,0.9962200000000000,0.97044,0.97851,0
2011-03-17,0.9784800000000000,0.98724,0.97577,0.97854,0
2011-03-18,0.97854,0.99777,0.97801,0.99616,0
2011-03-21,0.99559,1.0068700000000000,0.9950700000000000,1.00576,0
2011-03-22,1.00578,1.01275,1.0036100000000000,1.00909,0
2011-03-23,1.00905,1.01549,1.00631,1.01274,0
2011-03-24,1.01273,1.02271,1.0112300000000000,1.02088,0
2011-03-25,1.02084,1.02931,1.01855,1.02575,0
2011-03-28,1.02459,1.03135,1.02324,1.0242200000000000,0
2011-03-29,1.0242800000000000,1.02948,1.02039,1.02854,0
2011-03-30,1.02855,1.0336,1.02684,1.0319,0
2011-03-31,1.0319,1.03718,1.03092,1.03302,0
2011-04-01,1.0329900000000000,1.03941,1.03124,1.03829,0
2011-04-04,1.03891,1.0415300000000000,1.03355,1.03633,0
2011-04-05,1.0363,1.03681,1.0287600000000000,1.03206,0
2011-04-06,1.03206,1.0449900000000000,1.03139,1.04365,0
2011-04-07,1.0436300000000000,1.05066,1.0411300000000000,1.04659,0
2011-04-08,1.04657,1.05811,1.04514,1.0562200000000000,0
2011-04-11,1.05528,1.0580200000000000,1.04831,1.0491,0
2011-04-12,1.04916,1.05216,1.0388900000000000,1.04399,0
2011-04-13,1.0440400000000000,1.05374,1.04275,1.04977,0
2011-04-14,1.0497300000000000,1.05484,1.04564,1.05378,0
2011-04-15,1.05377,1.05772,1.05104,1.05659,0
2011-04-18,1.05541,1.05721,1.0453700000000000,1.0497100000000000,0
2011-04-19,1.0497300000000000,1.05329,1.04425,1.05234,0
2011-04-20,1.05236,1.0717300000000000,1.05177,1.06976,0
2011-04-21,1.0697300000000000,1.07738,1.0675700000000000,1.07474,0
2011-04-22,1.0747800000000000,1.07546,1.07197,1.07348,0
2011-04-25,1.0757700000000000,1.07739,1.06837,1.0724,0
2011-04-26,1.0724,1.07955,1.06759,1.07889,0
2011-04-27,1.0788800000000000,1.0877300000000000,1.07786,1.08535,0
2011-04-28,1.08561,1.0945800000000000,1.08503,1.0926800000000000,9783780000
2011-04-29,1.09257,1.0976300000000000,1.08806,1.0968800000000000,0
2011-05-02,1.0971600000000000,1.10109,1.09206,1.0938300000000000,0
2011-05-03,1.09376,1.09509,1.08301,1.08324,0
2011-05-04,1.08323,1.08761,1.07246,1.07267,0
2011-05-05,1.0729600000000000,1.07693,1.0536,1.06009,0
2011-05-06,1.06006,1.08006,1.05956,1.0700400000000000,0
2011-05-09,1.07093,1.08105,1.06934,1.07851,0
2011-05-10,1.07851,1.08476,1.07356,1.08416,0
2011-05-11,1.08417,1.08877,1.06636,1.07034,0
2011-05-12,1.0703200000000000,1.07126,1.05665,1.06646,0
2011-05-13,1.0664800000000000,1.0715700000000000,1.0520100000000000,1.0570700000000000,0
2011-05-16,1.05671,1.0641400000000000,1.05129,1.05729,0
2011-05-17,1.0573300000000000,1.06271,1.05045,1.06234,0
2011-05-18,1.0621400000000000,1.06645,1.05685,1.0631,0
2011-05-19,1.0630900000000000,1.0680400000000000,1.05938,1.0663,0
